year,page,pdf_field_name,short_key,field_type,semantic_label,rect_x0,rect_y0,rect_x1,rect_y1
2022,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].c1_19[0],c1_19,CheckBox,,453.2,356.0,461.2,364.0
2022,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].c1_20[0],c1_20,CheckBox,,532.4,356.0,540.4,364.0
2022,1,topmostSubform[0].Page1[0].f1_28[0],f1_28,Text,Line 5b - Pensions/annuities (taxable),504.0,366.0,576.0,378.0
2022,1,topmostSubform[0].Page1[0].f1_29[0],f1_29,Text,Line 6b - Social Security (taxable),504.0,378.0,576.0,390.0
2022,1,topmostSubform[0].Page1[0].f1_30[0],f1_30,Text,Line 7 - Capital gain/loss,504.0,390.0,576.0,402.0
2022,1,topmostSubform[0].Page1[0].f1_31[0],f1_31,Text,Line 8 - Additional income (Sch 1),504.0,402.0,576.0,414.0
2022,1,topmostSubform[0].Page1[0].f1_32[0],f1_32,Text,Line 9 - Total income,504.0,414.0,576.0,426.0
2022,1,topmostSubform[0].Page1[0].f1_33[0],f1_33,Text,Line 10 - Adjustments (Sch 1),504.0,426.0,576.0,438.0
2022,1,topmostSubform[0].Page1[0].f1_34[0],f1_34,Text,Line 11 - AGI,504.0,438.0,576.0,450.0
2022,1,topmostSubform[0].Page1[0].f1_35[0],f1_35,Text,Line 12 - Standard/Itemized deduction,504.0,450.0,576.0,462.0
2022,1,topmostSubform[0].Page1[0].f1_36[0],f1_36,Text,Line 13 - QBI deduction,410.4,462.0,481.6,474.0
2022,1,topmostSubform[0].Page1[0].f1_37[0],f1_37,Text,Line 14 - Total deductions,504.0,474.0,576.0,486.0
2022,1,topmostSubform[0].Page1[0].f1_38[0],f1_38,Text,Line 15 - Taxable income,252.0,486.0,323.2,498.0
2022,1,topmostSubform[0].Page1[0].f1_39[0],f1_39,Text,,504.0,486.0,576.0,498.0
2022,1,topmostSubform[0].Page1[0].f1_40[0],f1_40,Text,,252.0,498.0,323.2,510.0
2022,1,topmostSubform[0].Page1[0].f1_41[0],f1_41,Text,,504.0,498.0,576.0,510.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_42[0],f1_42,Text,,252.0,510.0,323.2,522.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_43[0],f1_43,Text,,504.0,510.0,576.0,522.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_44[0],f1_44,Text,,252.0,522.0,323.2,534.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_45[0],f1_45,Text,,504.0,522.0,576.0,534.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_46[0],f1_46,Text,,252.0,534.0,323.2,546.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_47[0],f1_47,Text,,504.0,534.0,576.0,546.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].c1_21[0],c1_21,CheckBox,,465.2,548.0,473.2,556.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].c1_22[0],c1_22,CheckBox,,465.2,560.0,473.2,568.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_48[0],f1_48,Text,,504.0,558.0,576.0,570.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_49[0],f1_49,Text,,504.0,570.0,576.0,582.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_50[0],f1_50,Text,,504.0,582.0,576.0,594.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_51[0],f1_51,Text,,504.0,594.0,576.0,606.0
2022,1,topmostSubform[0].Page1[0].Lines4a-11_ReadOrder[0].f1_52[0],f1_52,Text,,504.0,606.0,576.0,618.0
2022,1,topmostSubform[0].Page1[0].StandardDeductionBubble[0].f1_53[0],f1_53,Text,,504.0,618.0,576.0,630.0
2022,1,topmostSubform[0].Page1[0].f1_54[0],f1_54,Text,,504.0,630.0,576.0,642.0
2022,1,topmostSubform[0].Page1[0].f1_55[0],f1_55,Text,,504.0,642.0,576.0,654.0
2022,1,topmostSubform[0].Page1[0].f1_56[0],f1_56,Text,,504.0,654.0,576.0,666.0
2022,2,topmostSubform[0].Page2[0].c2_01[0],c2_01,CheckBox,,297.2,39.0,305.2,47.0
2022,2,topmostSubform[0].Page2[0].c2_02[0],c2_02,CheckBox,,347.6,39.0,355.6,47.0
2022,2,topmostSubform[0].Page2[0].c2_03[0],c2_03,CheckBox,,398.0,39.0,406.0,47.0
2022,2,topmostSubform[0].Page2[0].f2_01[0],f2_01,Text,,410.4,36.0,446.4,48.0
2022,2,topmostSubform[0].Page2[0].f2_02[0],f2_02,Text,,504.0,36.0,576.0,48.0
2022,2,topmostSubform[0].Page2[0].f2_03[0],f2_03,Text,,504.0,48.0,576.0,60.0
2022,2,topmostSubform[0].Page2[0].f2_04[0],f2_04,Text,,504.0,60.0,576.0,72.0
2022,2,topmostSubform[0].Page2[0].f2_05[0],f2_05,Text,,504.0,72.0,576.0,84.0
2022,2,topmostSubform[0].Page2[0].f2_06[0],f2_06,Text,,504.0,84.0,576.0,96.0
2022,2,topmostSubform[0].Page2[0].f2_07[0],f2_07,Text,,504.0,96.0,576.0,108.0
2022,2,topmostSubform[0].Page2[0].f2_08[0],f2_08,Text,,504.0,108.0,576.0,120.0
2022,2,topmostSubform[0].Page2[0].f2_09[0],f2_09,Text,,504.0,120.0,576.0,132.0
2022,2,topmostSubform[0].Page2[0].f2_10[0],f2_10,Text,,504.0,132.0,576.0,144.0
2022,2,topmostSubform[0].Page2[0].f2_11[0],f2_11,Text,,410.4,156.0,481.6,168.0
2022,2,topmostSubform[0].Page2[0].f2_12[0],f2_12,Text,,410.4,168.0,481.6,180.0
2022,2,topmostSubform[0].Page2[0].f2_13[0],f2_13,Text,,410.4,180.0,481.6,192.0
2022,2,topmostSubform[0].Page2[0].f2_14[0],f2_14,Text,,504.0,192.0,576.0,204.0
2022,2,topmostSubform[0].Page2[0].f2_15[0],f2_15,Text,,504.0,204.0,576.0,216.0
2022,2,topmostSubform[0].Page2[0].f2_16[0],f2_16,Text,,410.4,216.0,481.6,228.0
2022,2,topmostSubform[0].Page2[0].f2_17[0],f2_17,Text,,410.4,228.0,481.6,240.0
2022,2,topmostSubform[0].Page2[0].f2_18[0],f2_18,Text,,410.4,240.0,481.6,252.0
2022,2,topmostSubform[0].Page2[0].f2_19[0],f2_19,Text,,410.4,252.0,481.6,264.0
2022,2,topmostSubform[0].Page2[0].f2_20[0],f2_20,Text,,410.4,264.0,481.6,276.0
2022,2,topmostSubform[0].Page2[0].f2_21[0],f2_21,Text,,504.0,276.0,576.0,288.0
2022,2,topmostSubform[0].Page2[0].f2_22[0],f2_22,Text,,504.0,288.0,576.0,300.0
2022,2,topmostSubform[0].Page2[0].f2_23[0],f2_23,Text,,504.0,300.0,576.0,312.0
2022,2,topmostSubform[0].Page2[0].c2_04[0],c2_04,CheckBox,,465.2,314.5,473.2,322.5
2022,2,topmostSubform[0].Page2[0].f2_24[0],f2_24,Text,,504.0,312.0,576.0,324.0
2022,2,topmostSubform[0].Page2[0].RoutingNo[0].f2_25[0],f2_25,Text,,172.8,324.0,302.4,335.0
2022,2,topmostSubform[0].Page2[0].c2_05[0],c2_05,CheckBox,,377.4,327.0,385.4,335.0
2022,2,topmostSubform[0].Page2[0].c2_05[1],c2_05,CheckBox,,435.0,327.0,443.0,335.0
2022,2,topmostSubform[0].Page2[0].AccountNo[0].f2_26[0],f2_26,Text,,172.8,336.5,417.6,347.5
2022,2,topmostSubform[0].Page2[0].f2_27[0],f2_27,Text,,410.4,348.2,481.6,360.0
2022,2,topmostSubform[0].Page2[0].f2_28[0],f2_28,Text,,504.0,372.0,576.0,384.0
2022,2,topmostSubform[0].Page2[0].f2_29[0],f2_29,Text,,410.4,384.0,481.6,396.0
2022,2,topmostSubform[0].Page2[0].c2_06[0],c2_06,CheckBox,,410.4,408.5,418.4,416.5
2022,2,topmostSubform[0].Page2[0].c2_06[1],c2_06,CheckBox,,511.2,408.5,519.2,416.5
